Year,Team,Name,Salary,nameFirst,nameLast,cleanFirst,cleanLast,playerID
2012,TOR,Rajai Davis,2750000,Rajai,Davis,rajai,davis,davisra01
2012,TOR,Colby Rasmus,2700000,Colby,Rasmus,colby,rasmus,rasmuco01
2012,TOR,Carlos Villanueva,2277500,Carlos,Villanueva,carlos,villanueva,villaca01
2012,TOR,Casey Janssen,2000000,Casey,Janssen,casey,janssen,janssca01
2012,TOR,Ben Francisco,1537500,Ben,Francisco,ben,francisco,francbe01
2012,TOR,Jeff Mathis,1500000,Jeff,Mathis,jeff,mathis,mathije01
2012,TOR,Sergio Santos,1000000,Sergio,Santos,sergio,santos,santose01
2012,TOR,Jesse Litsch,975000,Jesse,Litsch,jesse,litsch,litscje01
2012,TOR,Omar Vizquel,750000,Omar,Vizquel,omar,vizquel,vizquom01
2012,TOR,Dustin McGowan,600000,Dustin,McGowan,dustin,mcgowan,mcgowdu01
2012,TOR,J. P. Arencibia,489600,J. P.,Arencibia,jp,arencibia,arencjp01
2012,TOR,Kyle Drabek,485900,Kyle,Drabek,kyle,drabek,drabeky01
2012,TOR,Eric Thames,485900,Eric,Thames,eric,thames,thameer01
2012,TOR,Luis Perez,485700,Luis,Perez,luis,perez,perezlu01
2012,TOR,Henderson Alvarez,482900,Henderson,Alvarez,henderson,alvarez,alvarhe01
2012,TOR,Brett Lawrie,482500,Brett,Lawrie,brett,lawrie,lawribr01
2012,TOR,Joel Carreno,481700,Joel,Carreno,joel,carreno,carrejo01
